

Day 1
ability  n. 能力；才能                
able  a. 能够；有能力的
aboard  prep. 上（船，飞机，火车，汽车等）
about  ad. 大约；到处；四处 prep. 关于；在各处；四处
above  prep. 在……上面 a. 上面的 ad. 在……之上
abroad  ad. 到（在）国外 
accept  vt. 接受
access  n. / v. 通道，入径，存取（计算机文件）
accident  n. 事故，意外的事 
accommodation  n.住宿，膳宿
according to  ad. 按照，根据
account  n. 账目;描述 
accuse  v. 正确无误的,精确的
achieve  vt. 达到，取得 
achievement  n. 成就,成绩,功绩
across  prep. 横过，穿过 
act  n. 法令，条例 v. （戏）表演，扮演（角色），演出（戏）；行动，做事 
action  n. 行动 
active  a. 积极的，主动的 
activity  n. 活动
actor  n. 男演员
actress  n. 女演员
actual  a. 实际的； 现实的 
add  vt.添加，增加 
addition  n.增加;（算数用语）加 
address  n. 地址 
administration  n.管理,行政部门
admire  v. 钦佩；羡慕 
admit  vt. 承认，准许（入场，入学，入会） 
adult  n. 成年人 
advantage  n. 优点； 好处 
advice  n. 忠告，劝告，建议 
advise  vt. 忠告，劝告，建议 
affair  n. 事，事情 
affect  vt. 影响 
afford  vt. 负担得起（……的费用）；抽得出（时间）；提供 
afraid  a. 害怕的；担心 
after ad. 在后；后来prep. 在…之后；在 后面 conj. 在…以后 
afternoon  n. 下午，午后 
afterward(s)  ad. 后来 
again  ad. 再一次；再，又 
against  prep. 对着，反对 
age  n. 年龄；时代 
ago  ad. 以前 
agree  v. 同意；应允 
agreement  n. 同意，一致；协定，协议 
ahead  ad. 在前，向前 
aid  n. 援助；救护；辅助器具 
aim  n.目的；目标 v. 计划，打算；瞄准；针对 
air  n. 空气；大气 
aircraft  n. 飞机 (单复数同) 
airport  n. 航空站，飞机场 
alarm  n. 警报 
alive  a. 活着的，存在的 
all  ad. 全部地 a. 全（部）;所有的;总;整 pron.全部;全体人员 
allow  vt. 允许，准许 
almost  ad. 几乎，差不多 
alone  a. 单独的，孤独的 
along  ad. 向前；和…一起；一同 prep. 沿着；顺着 
already  ad. 已经 

Day 2
also  ad. 也 
alternative  a.可供替代,非传统的
although  conj. 虽然，尽管 
altogether  ad. 总共 
always  ad. 总是；一直；永远 
ａ.m./A.M.  n. 午前，上午
amazing  a.惊奇,惊叹的;震惊的
ambition  n.目标,野心,雄心,抱负
among  prep. 在…中间；在（三个以上）之间 
amount  n. / v. 金额，数量，总计
ancient  a. 古代的，古老的 
and  conj. 和；又；而 
anger  n. 怒，愤怒 
angle  n. 角度
angry  a. 生气的，愤怒的 
animal  n. 动物 
announce  vt. 宣布，宣告 
annual  a. 每年的，年度的，一年一次的
another  a. 再一；另一；别的；不同的 pron. 另一个 
answer  n.回答,答复;回信;答案 v.回答,答复;回信;（作出）答案 
any  pron. （无论）哪一个；哪些 任何的；（用于疑问句、否定句）一些；什么 
anybody  pron. 任何人，无论谁 
anyone  pron. 任何人，无论谁 
anything  pron. 什么事（物）；任何事（物） 
anyway ad. 不管怎样 
anywhere  ad. 任何地方 
apart  ad, / a. 相隔，相距，除外
apartment  n. （美）楼中单元房，一套房间；房间 
apologize  vi. 道歉，谢罪 
apology  n. 道歉；歉意 
appear  vi. 出现 
appearance  n. 出现，露面；容貌 
apple  n. 苹果 
applicant  n. 申请人
application  n. 申请 
apply v. 申请 
appoint  v. 任命，委任，安排，确定（时间，地点）
appointment  n. 约会 
appreciate  v. 欣赏； 感激 
appreciation  n. 欣赏,鉴定,评估
approach  n. / v. 靠近，接近，建议，要求
appropriate  a. 合适的，恰当的
approximately  ad.近似，大约
April  n. 4月 
are  v.(be) 是
area  n. 面积；地域，地方，区域；范围，领域 
argue vi. 争辩， 争论 
argument  n. 争论，辩论 
arm  n. 臂,支架 v. 以…装备,武装起来n. （美）武器,武力 
army  n. 军队 
around  ad. 在周围；在附近prep. 在……周围；大约 
arrange  v. 安排，布置
arrangement n. 安排，布置 
arrest  v. 逮捕，拘留
arrival  n. 到来，到达 
arrive  vi. 到达；达到 
art  n. 艺术，美术；技艺 
article  n.文章;东西,物品;冠词
artist  n.艺术家
as  ad.& conj.像……一样；如同；因为 prep. 作为，当做
ashamed  a. 惭愧； 害臊

Day 3
ask  v. 问；请求，要求；邀请 
asleep  a. 睡着的，熟睡 
aspect  n. 方面，外观，外表
assistant  n. 助手，助理 
astronaut  n. 宇航员 
